run	BC1	BC2	BC3	BC4	BC5
1063	2070.2592395644	1778.0978761147	4703.3970771316	5108.2085654014	4239.1112536953
1064	2069.0745217466	1779.6914801243	4702.5538150773	5108.1119656473	4238.1639018703
1065	2067.9524357231	1781.4787861974	4701.7859497674	5108.0126579876	4237.2871984918
1066	2066.9124572367	1783.3317140989	4701.1034259243	5107.9104470562	4236.4910741000
1067	2065.9740620306	1785.0968807582	4700.5161882703	5107.8051374873	4235.7854592351
1068	2065.1567258478	1786.6209031046	4700.0341815279	5107.6965339148	4235.1802844375
1069	2064.4799244312	1787.7503980675	4699.6673504193	5107.5844409728	4234.6854802474
1070	2063.9631335239	1788.3319825762	4699.4256396671	5107.4686632953	4234.3109772050
1071	2063.6258288689	1788.2122735600	4699.3189939935	5107.3490055163	4234.0667058507
1072	2063.4874862092	1787.2378879485	4699.3530828737	5107.2252722699	4233.9625967247
1073	2063.5675812878	1785.2554426708	4699.5164747938	5107.0972681901	4234.0085803672
1074	2063.8855898478	1782.1115546563	4699.7934629926	5106.9647979109	4234.2101254452
1075	2064.4609876321	1777.7972624204	4700.1683407089	5106.8276660664	4234.5548531315
1076	2065.3132503839	1772.8812908220	4700.6254011814	5106.6856772905	4235.0259227257
1077	2066.4618538460	1768.0767863062	4701.1489376491	5106.5386362173	4235.6064935273
1078	2067.9262737616	1764.0968953179	4701.7232433506	5106.3863474809	4236.2797248358
1079	2069.7259858736	1761.6547643022	4702.3326115248	5106.2286157152	4237.0287759507
1080	2071.8600057873	1761.4635397039	4702.9613354106	5106.0652455543	4237.8368061717
1081	2074.2455085570	1764.0432671526	4703.5937082466	5105.8960416323	4238.6869747981
1082	2076.7792090994	1769.1415890164	4704.2140232718	5105.7208085831	4239.5624411296
1083	2079.3578223309	1776.3130468478	4704.8065737249	5105.5393510407	4240.4463644656
1084	2081.8780631683	1785.1121821995	4705.3556528447	5105.3514736393	4241.3219041057
1085	2084.2366465280	1795.0935366239	4705.8455538701	5105.1569810128	4242.1722193493
1086	2086.3302873266	1805.8116516737	4706.2634746986	5104.9556777953	4242.9804694961
1087	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1088	2089.3096009070	1827.6763298598	4706.8815465549	5104.5318581233	4244.4278032720
1089	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
1090	2089.9897232420	1847.1425491785	4707.2207332877	5104.0784516955	4245.6511377035
1091	2089.2093749840	1854.8625906440	4707.2900477118	5103.8401650332	4246.1824376168
1092	2087.5443736644	1860.6466420503	4707.2948044298	5103.5938955841	4246.6620966359
1093	2084.8914341998	1864.0492449502	4707.2367246332	5103.3394479821	4247.0915677416
1094	2081.2048119937	1864.6249408961	4707.1175295138	5103.0766268613	4247.4723039144
1095	2076.6689243969	1862.1188350138	4706.9389402630	5102.8052368558	4247.8057581350
1096	2071.5257292475	1857.0382867219	4706.7026780725	5102.5250825995	4248.0933833841
1097	2066.0171843831	1850.0812190121	4706.4104641339	5102.2359687265	4248.3366326422
1098	2060.3852476418	1841.9455548759	4706.0640196387	5101.9376998708	4248.5369588901
1099	2054.8718768612	1833.3292173052	4705.6650657786	5101.6300806664	4248.6958151084
1100	2049.7190298794	1824.9301292916	4705.2153237451	5101.3129157474	4248.8146542777
