Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
37	13	20.5855
37	14	20.5716
37	15	20.5677
37	16	20.5789
37	17	20.5798
37	18	20.5671
37	19	20.5611
37	20	20.5577
37	21	20.5591
37	22	20.5509
37	23	20.5330
37	24	20.5381
37	25	20.5623
37	26	20.5347
37	27	20.5238
37	28	20.5085
37	29	20.5140
37	30	20.5212
37	31	20.5203
38	0	19.9862
38	1	20.3854
38	2	20.3551
38	3	20.3413
38	4	20.3058
38	5	20.3126
38	6	20.3337
38	7	20.3342
38	8	20.3340
38	9	20.3422
38	10	20.3191
38	11	20.3247
38	12	20.2979
38	13	20.3311
38	14	20.3120
38	15	20.3019
38	16	20.3026
38	17	20.2907
38	18	20.2731
38	19	20.2734
38	20	20.2628
38	21	20.2722
38	22	20.2656
38	23	20.2572
38	24	20.2523
38	25	20.2583
38	26	20.2456
38	27	20.2409
38	28	20.2447
38	29	20.2533
38	30	20.2389
38	31	20.2372
39	0	20.3065
39	1	20.6239
39	2	20.6218
39	3	20.6128
39	4	20.6200
39	5	20.6259
39	6	20.6305
39	7	20.6192
39	8	20.6500
39	9	20.6411
39	10	20.6239
39	11	20.6276
39	12	20.6240
39	13	20.6145
39	14	20.2716
39	15	20.6095
39	16	20.6162
39	17	20.6018
39	18	20.6054
39	19	20.2623
39	20	20.5968
39	21	20.6008
39	22	20.5917
39	23	20.5923
39	24	20.5835
39	25	20.5594
39	26	20.5490
39	27	20.5632
39	28	20.5532
39	29	20.5717
39	30	20.5721
39	31	20.5670
40	0	20.0429
40	1	20.2407
40	2	20.3354
40	3	20.3699
40	4	20.3245
40	5	20.2729
40	6	20.3398
40	7	20.4758
40	8	20.4599
40	9	20.4438
40	10	20.4418
40	11	20.4816
40	12	20.5308
40	13	20.5517
40	14	20.5118
40	15	20.4774
40	16	20.4649
40	17	20.4275
40	18	20.3347
40	19	20.3671
40	20	20.3753
40	21	20.3886
40	22	20.4138
40	23	20.4362
40	24	20.4307
40	25	20.4174
40	26	20.3542
40	27	20.3602
40	28	20.3824
40	29	20.4264
40	30	20.4168
40	31	20.4102
41	0	21.9658
41	1	22.4086
41	2	22.4197
41	3	22.3996
41	4	22.3974
41	5	22.4213
41	6	22.4434
41	7	22.4326
41	8	22.4525
41	9	22.4643
41	10	22.4493
41	11	22.4605
41	12	22.4679
41	13	22.4660
41	14	22.4886
41	15	22.5020
41	16	0.0000
41	17	0.0000
41	18	0.0000
41	19	0.0000
41	20	0.0000
41	21	0.0000
41	22	0.0000
41	23	0.0000
41	24	0.0000
41	25	0.0000
41	26	0.0000
41	27	0.0000
41	28	0.0000
41	29	0.0000
41	30	0.0000
41	31	0.0000
42	0	21.7240
42	1	21.7277
42	2	21.7407
42	3	21.7559
42	4	21.7643
42	5	21.7761
42	6	21.7839
42	7	21.7996
42	8	21.8047
42	9	21.8087
42	10	21.8280
42	11	21.8459
42	12	21.8453
42	13	21.8620
42	14	21.8676
42	15	21.9027
42	16	0.0000
42	17	0.0000
42	18	0.0000
42	19	0.0000
42	20	0.0000
42	21	0.0000
42	22	0.0000
42	23	0.0000
42	24	0.0000
42	25	0.0000
42	26	0.0000
42	27	0.0000
42	28	0.0000
42	29	0.0000
42	30	0.0000
42	31	0.0000
43	0	21.3727
43	1	21.8210
43	2	21.8208
43	3	21.8287
43	4	21.8471
43	5	21.8698
43	6	21.8717
43	7	21.8789
43	8	21.8903
43	9	21.8936
43	10	21.9221
43	11	21.9166
43	12	21.9368
43	13	21.9418
43	14	21.9654
43	15	22.0291
43	16	0.0000
43	17	0.0000
43	18	0.0000
43	19	0.0000
43	20	0.0000
43	21	0.0000
43	22	0.0000
43	23	0.0000
43	24	0.0000
43	25	0.0000
43	26	0.0000
43	27	0.0000
43	28	0.0000
43	29	0.0000
43	30	0.0000
43	31	0.0000
44	0	20.9717
44	1	21.3642
44	2	21.3822
44	3	21.3913
44	4	21.3991
44	5	21.4125
44	6	21.4228
44	7	21.4369
44	8	21.4428
44	9	21.4805
44	10	21.4676
44	11	21.4706
44	12	21.4692
44	13	21.5083
44	14	21.5260
44	15	21.5650
44	16	0.0000
44	17	0.0000
44	18	0.0000
44	19	0.0000
44	20	0.0000
44	21	0.0000
44	22	0.0000
44	23	0.0000
44	24	0.0000
44	25	0.0000
44	26	0.0000
44	27	0.0000
44	28	0.0000
44	29	0.0000
44	30	0.0000
44	31	0.0000
45	0	21.3145
45	1	21.6135
45	2	21.6211
45	3	21.6216
45	4	21.6267
45	5	21.6530
45	6	21.6558
45	7	21.6822
45	8	21.6929
45	9	21.7086
45	10	21.7232
45	11	21.7240
45	12	21.7204
45	13	21.7140
45	14	21.6983
45	15	21.7206
45	16	0.0000
45	17	0.0000
45	18	0.0000
45	19	0.0000
45	20	0.0000
45	21	0.0000
45	22	0.0000
45	23	0.0000
45	24	0.0000
45	25	0.0000
45	26	0.0000
45	27	0.0000
45	28	0.0000
45	29	0.0000
45	30	0.0000
45	31	0.0000
46	0	21.1845
46	1	21.2465
46	2	21.2264
46	3	21.2302
46	4	21.2320
46	5	21.2243
46	6	21.2339
46	7	21.2550
46	8	21.2598
46	9	21.2436
46	10	21.2598
46	11	21.2399
46	12	21.2603
46	13	21.2534
46	14	21.2609
46	15	21.2911
46	16	0.0000
