Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
19 37 8.414788
19 38 8.41387
19 39 8.41316
19 40 8.412655
19 41 8.412358
19 42 8.412267
19 43 8.412383
19 44 8.412705
19 45 8.413235
19 46 8.41397
19 47 8.414912
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
  
