TimeShift by Proton p>2GeV/c. Common TimeShift, ns
545
Plane	Strip	TimeShift, ns
16	8	16.0421
16	9	16.142
16	10	16.0344
16	11	15.9454
16	12	15.8555
16	13	15.9333
16	14	15.9193
16	15	15.7353
16	16	15.9998
16	17	15.7955
16	18	15.8744
16	19	15.8844
16	20	16.0091
16	21	15.784
16	22	15.7909
16	23	15.8665
16	24	15.8999
16	25	15.9093
16	26	15.7529
16	27	15.7422
16	28	15.8482
16	29	15.6926
16	30	15.7968
16	31	15.6642
16	32	15.7241
16	33	15.6451
16	34	15.6069
16	35	15.5929
16	36	15.5583
16	37	15.6406
16	38	15.6251
16	39	15.4891
16	40	15.6617
16	41	15.5686
16	42	15.613
16	43	15.5768
16	44	15.7125
16	45	15.4949
16	46	15.5104
16	47	15.542
17	0	18.1837
17	1	18.1797
17	2	18.0842
17	3	18.0187
17	4	18.1079
17	5	17.9958
17	6	18.1225
17	7	17.9864
17	8	18.0953
17	9	18.0299
17	10	17.9948
17	11	17.9567
17	12	17.9199
17	13	18.019
17	14	18.007
17	15	17.7812
17	16	18.1201
17	17	18.0409
17	18	17.9492
17	19	18.0285
17	20	18.1564
17	21	17.8791
17	22	17.8912
17	23	17.9708
17	24	17.7212
17	25	17.7563
17	26	17.7128
17	27	17.5888
17	28	17.6928
17	29	17.6301
17	30	17.7385
17	31	17.6023
17	32	17.7337
17	33	17.695
17	34	17.6352
17	35	17.624
17	36	17.5609
17	37	17.5018
17	38	17.4693
17	39	17.4911
17	40	17.5368
17	41	17.508
17	42	17.5885
17	43	17.5049
17	44	17.6292
17	45	17.4892
17	46	17.3386
17	47	17.4303
18	0	22.7078
18	1	22.7435
18	2	22.5859
18	3	22.5866
18	4	22.6923
18	5	22.4871
18	6	22.6984
18	7	22.5526
18	8	22.6255
18	9	22.659
18	10	22.6052
18	11	22.4979
18	12	22.4834
18	13	22.4718
18	14	21.0996
18	15	22.3505
18	16	22.5801
18	17	22.4757
18	18	22.5527
18	19	22.4935
18	20	22.5695
18	21	22.4146
18	22	22.3093
18	23	22.3869
18	24	22.5109
18	25	22.5046
18	26	22.396
18	27	22.4067
18	28	22.4175
18	29	22.2842
18	30	22.4371
18	31	22.2329
18	32	22.3416
18	33	22.3529
18	34	22.3387
18	35	22.2311
18	36	22.2182
18	37	22.154
18	38	22.0464
18	39	22.1692
18	40	22.1711
18	41	22.1037
18	42	22.2314
18	43	22.0805
18	44	22.1679
18	45	22.2289
18	46	22.0151
18	47	22.1028
19	0	22.7028
19	1	22.737
19	2	22.6002
19	3	22.5602
19	4	22.6545
19	5	22.4834
19	6	22.6517
19	7	22.5028
19	8	22.6213
19	9	22.5683
19	10	22.5588
19	11	22.5423
19	12	22.4817
19	13	22.3557
19	14	22.266
19	15	22.3896
19	16	22.3566
19	17	22.2791
19	18	22.4456
19	19	22.2933
19	20	22.3274
19	21	22.3414
19	22	22.1615
19	23	22.1909
19	24	22.2766
19	25	22.3106
19	26	22.3294
19	27	22.1556
19	28	22.2578
19	29	22.2518
19	30	22.2351
19	31	22.1866
19	32	22.4291
19	33	22.2495
19	34	22.1875
19	35	35.7912
19	36	22.3035
19	37	20.0215
19	38	22.2308
19	39	22.1525
19	40	22.1565
19	41	22.095
19	42	22.1899
19	43	22.125
19	44	22.2708
19	45	22.1277
19	46	21.9927
19	47	22.0998
