nRun 0.000 0.000 ZcoorHe_С
3406 1.000 0.025 2.225
3408 1.000 0.025 5.975
3409 0.984 0.123 2.275
3410 0.968 0.169 2.275
3411 1.000 0.025 2.275
3412 1.000 0.025 2.275
3413 1.000 0.025 5.975
3414 1.000 0.025 2.325
3415 1.034 -0.129 2.275
3416 0.984 0.074 2.275
3417 1.000 0.025 2.325
3419 1.000 0.025 5.975
3421 1.000 0.025 2.275
3423 0.984 0.074 2.275
3425 1.000 0.025 2.175
3427 1.000 0.025 5.975
3429 1.017 -0.025 2.225
3435 1.053 -0.079 5.775
3436 1.053 -0.079 5.775
3437 1.053 -0.079 5.775
3442 1.053 -0.079 5.775
3452 1.091 -0.245 5.725
3453 1.091 -0.191 5.675
3455 1.091 -0.191 5.675
3457 1.091 -0.191 5.675
3462 1.132 -0.311 5.575
3463 1.132 -0.311 5.575
3464 1.111 -0.250 5.625
3465 1.071 -0.134 5.725
3466 1.071 -0.134 5.725
3467 1.071 -0.134 5.725
3472 1.071 -0.134 5.725
3514 1.053 -0.132 5.825
3517 1.034 -0.026 5.825
3518 1.034 -0.026 5.825
3519 1.034 -0.026 5.825
3520 1.034 -0.026 5.825
3521 1.034 -0.026 5.825
3522 1.053 -0.132 5.825
3523 1.034 -0.026 5.825
3524 1.034 -0.026 5.825
3525 1.034 -0.026 5.825
3526 1.053 -0.132 5.825
3527 1.034 -0.026 5.825
3528 1.053 -0.132 5.825
3529 1.034 -0.026 5.825
3530 1.034 -0.026 5.825
3531 1.053 -0.132 5.825
3532 1.034 -0.026 5.825
3535 1.034 -0.026 5.825
3536 1.053 -0.079 5.775
3537 1.053 -0.079 5.775
3539 1.034 -0.026 5.825
3541 1.053 -0.079 5.775
3542 1.034 -0.026 5.825
3543 1.034 -0.026 5.825
3544 1.034 -0.026 5.825
3545 1.053 -0.079 5.775
3546 1.053 -0.079 5.775
3547 1.053 -0.079 5.775
3548 1.053 -0.079 5.775
3549 1.034 0.026 5.775
3550 1.053 -0.079 5.775
3551 1.053 -0.079 5.775
3552 1.053 -0.079 5.775
3553 1.053 -0.079 5.775
3554 1.053 -0.079 5.775
3555 1.034 0.026 5.775
3557 1.034 -0.026 5.825
3558 1.053 -0.079 5.775
3559 1.053 -0.079 5.775
3560 1.053 -0.079 5.775
3561 1.053 -0.079 5.775
3562 1.053 -0.079 5.775
3563 1.053 -0.079 5.775
3564 1.053 -0.079 5.775
3565 1.053 -0.079 5.775
3566 1.053 -0.079 5.775
3567 1.034 0.026 5.775
3568 1.053 -0.079 5.775
3569 1.053 -0.079 5.775
3570 1.053 -0.079 5.775
3571 1.053 -0.079 5.775
3572 1.053 -0.079 5.775
3573 1.053 -0.079 5.775
3574 1.071 -0.188 5.775
3575 1.071 -0.134 5.725
3576 1.034 -0.026 5.825
3578 1.071 -0.134 5.725
3580 1.053 -0.079 5.775
3581 1.053 -0.079 5.775
3582 1.034 0.026 5.775
3583 1.071 -0.134 5.725
3584 1.053 -0.026 5.725
3587 1.053 -0.079 5.775
3588 1.053 -0.132 5.825

