nRun 0.000 0.000 ZcoorHe
3374 1.017 -0.025 2.225
3376 1.017 -0.025 2.275
3378 1.000 0.025 5.975
3379 1.000 0.025 2.275
3380 0.984 0.074 2.175
3381 0.984 0.074 2.225
3382 0.968 0.121 2.225
3383 1.017 -0.076 5.975
3385 0.984 0.074 2.975
3387 0.968 0.169 2.275
3388 0.984 0.074 2.275
3389 1.000 -0.025 2.325
3390 0.984 0.074 2.275
3391 1.000 -0.025 0.000
3392 0.984 0.074 2.275
3393 0.968 0.121 2.225
3394 0.984 0.074 2.225
3395 0.968 0.121 2.275
3396 1.000 -0.025 6.025
3397 0.984 0.074 2.275
3398 0.984 0.074 2.275
3399 0.984 0.074 2.275
3400 0.984 0.074 2.275
3401 1.000 0.025 0.000
3402 0.984 0.074 2.225
3403 1.000 0.025 2.275
3404 0.984 0.123 2.225
3405 0.968 0.169 2.175
3406 0.984 0.074 2.275
3408 1.017 -0.076 0.000
3409 0.984 0.074 2.275
3410 0.984 0.074 2.225
3411 0.968 0.169 2.925
3412 1.000 -0.025 2.275
3413 1.017 -0.076 0.000
3414 1.000 0.025 2.975
3415 1.000 0.025 2.275
3416 0.984 0.074 2.275
3417 1.017 -0.076 2.275
3418 0.984 0.074 2.275
3419 1.000 0.025 5.975
3421 1.000 0.025 2.275
3423 0.984 0.074 2.975
3425 1.000 0.025 2.975
3426 1.000 0.025 2.225
3427 1.017 -0.076 0.000
3429 1.000 0.025 2.275
3430 1.000 0.175 5.825
3431 1.000 0.225 5.775
3432 1.000 0.225 5.775
3433 1.000 0.225 5.775
3434 1.000 0.225 5.775
3435 1.071 -0.188 5.775
3436 1.071 -0.188 5.775
3437 1.053 -0.079 5.775
3441 1.071 -0.188 5.775
3442 1.071 -0.188 5.775
3443 1.071 -0.188 5.775
3446 1.071 -0.188 5.775
3447 1.071 -0.188 5.775
3451 1.071 -0.188 5.775
3452 1.071 -0.188 5.775
3453 1.091 -0.245 5.725
3454 1.091 -0.245 5.725
3455 1.091 -0.191 5.675
3456 1.091 -0.191 5.675
3457 1.071 -0.134 5.725
3462 1.000 0.375 5.625
3463 1.000 0.375 5.625
3464 1.000 0.325 5.675
3465 1.000 0.275 5.725
3466 1.000 0.225 5.775
3467 1.000 0.225 5.775
3472 1.000 0.225 5.775
3474 1.000 0.225 5.775
3475 1.053 -0.184 5.875
3476 1.053 -0.184 5.875
3479 1.034 -0.078 5.875
3481 1.053 -0.132 5.825
3482 1.053 -0.184 5.875
3483 1.071 -0.241 5.825
3485 1.053 -0.184 5.875
3491 1.053 -0.184 5.875
3492 1.053 -0.184 5.875
3493 1.034 -0.078 5.875
