ncrates
2

crate	crateID
0	0x68C99E
1	0x6912B2

nslots
15

crate	slot	dnltype		dnlfile
0	0	2		TDC_FFD_INL.dat
1	19	23		2		8		2
1	19	24		2		9		2
1	19	25		2		10		2
1	19	26		2		11		2
1	19	27		2		12		2
1	19	28		2		13		2
1	19	29		2		14		2
1	19	30		2		15		2
1	19	31		2		16		2
1	19	33		2		18		1
1	19	34		2		19		1
1	19	35		2		20		1
1	19	36		2		21		1
1	19	37		2		22		1
1	19	38		2		23		1
1	19	39		2		24		1
1	19	40		2		25		1
1	19	41		2		26		1
1	19	42		2		27		1
1	19	43		2		28		1
1	19	44		2		29		1
1	19	45		2		30		1
1	19	46		2		31		1
1	19	47		2		32		1
1	19	49		2		18		2
1	19	50		2		19		2
1	19	51		2		20		2
1	19	52		2		21		2
1	19	53		2		22		2
1	19	54		2		23		2
1	19	55		2		24		2
1	19	56		2		25		2
1	19	57		2		26		2
1	19	58		2		27		2
1	19	59		2		28		2
1	19	60		2		29		2
1	19	61		2		30		2
1	19	62		2		31		2
1	19	63		2		32		2
