Plane	Strip	Mean
26	1	0
26	2	0.0820312
26	3	-0.105469
26	4	-0.257812
26	5	-0.234375
26	6	-0.28125
26	7	-0.1875
26	8	0.0351563
26	9	0.046875
26	10	0.09375
26	11	0.117188
26	12	-0.152344
26	13	-0.105469
26	14	-0.0234375
26	15	0.257812
26	16	-0.046875
26	17	-0.09375
26	18	1.37203e-17
26	19	-0.164062
26	20	-0.0234375
26	21	-0.046875
26	22	-0.351563
26	23	-0.375
26	24	-0.0117187
26	25	-2.6221e-18
26	26	0.0703125
26	27	-0.117187
26	28	-0.164062
26	29	0.0703125
26	30	0.128906
26	31	0.117187
27	0	0
27	1	-0.117187
27	2	-0.0234375
27	3	-0.105469
27	4	-0.152344
27	5	-0.164063
27	6	-0.28125
27	7	-0.386719
27	8	-0.152344
27	9	-0.117187
27	10	-0.28125
27	11	0.0585938
27	12	-0.222656
27	13	-0.09375
27	14	0.0234375
27	15	-0.0234375
27	16	-0.0585938
27	17	-0.152344
27	18	-0.304687
27	19	-0.09375
27	20	-0.09375
27	21	-0.175781
27	22	-0.375
27	23	-0.222656
27	24	-0.0585937
27	25	-0.0234375
27	26	0.117187
27	27	0.0234375
27	28	-0.164062
27	29	0.0117188
27	30	-1.04019e-17
27	31	0.0117187
28	0	0
28	1	0.0703125
28	2	0.269531
28	3	0.105469
28	4	0.269531
28	5	0.09375
28	6	0.339844
28	7	0.433594
28	8	0.175781
28	9	0.0351562
28	10	0.0234375
28	11	-0.0585938
28	12	0.0820313
28	13	-0.0234375
28	14	0.140625
28	15	-0.046875
28	16	-0.0234375
28	17	-0.164063
28	18	0.09375
28	19	0.09375
28	20	0.0351563
28	21	0.0820312
28	22	-0.128906
28	23	0.117188
28	24	-0.304687
28	25	-0.164063
28	26	-0.0820313
28	27	0.0117188
28	28	-0.09375
28	29	-0.199219
28	30	-0.363281
28	31	0.0117188
29	0	0
29	1	-0.117187
29	2	-0.164062
29	3	-0.210937
29	4	-0.292969
29	5	-0.292969
29	6	-0.292969
29	7	-0.257813
29	8	0.1304
29	9	0.0820313
29	10	0.0585937
29	11	0.0820313
29	12	0.164063
29	13	0.152344
29	14	0.0585937
29	15	0.09375
29	16	-0.0703125
29	17	-0.128906
29	18	-0.210937
29	19	-0.210937
29	20	-0.117187
29	21	-0.222656
29	22	-0.105469
29	23	-0.152344
29	24	0.09375
29	25	0.0820312
29	26	0.0820312
29	27	0.152344
29	28	0.234375
29	29	0.105469
29	30	0.0351562
29	31	0.105469
30	16	0
30	17	0.140625
30	18	0.140625
30	19	0.199219
30	20	0.292969
30	21	0.117188
30	22	0.46875
30	23	0.421875
30	24	-0.0585938
30	25	-0.128906
30	26	-0.0234375
30	27	-0.0820312
30	28	0.0351562
30	29	-0.164062
30	30	-0.257813
30	31	-0.210938
30	0	0
30	1	0.117188
30	2	0.140625
30	3	0.0820313
30	4	0.117187
30	5	0.164062
30	6	0.164063
30	7	0.234375
30	8	-0.09375
30	9	-0.0703125
30	10	-0.0820312
30	11	-0.128906
30	12	-0.140625
30	13	-0.117187
30	14	-0.0703125
30	15	-0.0351562
31	0	0
31	1	-0.339844
31	2	-0.1875
31	3	-0.199219
31	4	-0.222656
31	5	-0.175781
31	6	-0.046875
31	7	-0.175781
31	8	0.128906
31	9	-0.046875
31	10	0.140625
31	11	0.0820312
31	12	-0.0585937
31	13	0.0117187
31	14	-0.0703125
31	15	0.105469
31	16	-0.1875
31	17	-0.0117187
31	18	-0.398438
31	19	-0.363281
31	20	-0.28125
31	21	-0.257812
31	22	-0.222656
31	23	-0.292969
31	24	-0.0234375
31	25	-0.0234375
31	26	-0.0117187
31	27	0.09375
31	28	0.128906
