Plane	Strip	Speed
31 3 0.061973
31 4 0.0618343
31 5 0.0619316
31 6 0.06138
31 7 0.0614565
31 8 0.0611602
31 9 0.0609214
31 10 0.0604503
31 11 0.0609565
31 12 0.0610693
31 13 0.0612883
31 14 0.0610472
31 15 0.0609372
31 16 0.060677
31 17 0.0603312
31 18 0.0607165
31 19 0.0609549
31 20 0.0608605
31 21 0.0611712
31 22 0.0617196
31 23 0.0601315
31 24 0.0598003
31 25 0.060016
31 26 0.060434
31 27 0.0601413
31 28 0.0602535
31 29 0.0616863
31 30 0.0625794
31 31 0.0635109
31 32 0.0612999
32 1 0.0595377
32 2 0.0595144
32 3 0.0595567
32 4 0.0597659
32 5 0.0595398
32 6 0.0602593
32 7 0.0598327
32 8 0.0583291
32 9 0.0578753
32 10 0.0579659
32 11 0.0588438
32 12 0.0575405
32 13 0.0585723
32 14 0.0588455
32 15 0.0584905
32 16 0.0587699
32 17 0.0586683
32 18 0.0590811
32 19 0.0586694
32 20 0.0591365
32 21 0.060815
32 22 0.0608834
32 23 0.0599531
32 24 0.060404
32 25 0.0585698
32 26 0.0610147
32 27 0.0595276
32 28 0.059301
32 29 0.061707
32 30 0.062756
32 31 0.0663377
32 32 0.0602571
33 1 0.061099
33 2 0.0617832
33 3 0.0611785
33 4 0.0613675
33 5 0.0611485
33 6 0.0607372
33 7 0.0605012
33 8 0.0609093
33 9 0.0612583
33 10 0.0611799
33 11 0.0610909
33 12 0.0604999
33 13 0.0606543
33 14 0.0609342
33 15 0.060635
33 16 0.0608228
33 17 0.0598739
33 18 0.060116
33 19 0.0610242
33 20 0.060368
33 21 0.0615256
33 22 0.0614337
33 23 0.0607704
33 24 0.0613307
33 25 0.0601337
33 26 0.0597318
33 27 0.0591975
33 28 0.0606604
33 29 0.060604
33 30 0.0602848
33 31 0.0624385
33 32 0.0609919
34 1 0.0611909
34 2 0.0615567
34 3 0.0607789
34 4 0.0618772
34 5 0.0628233
34 6 0.0639085
34 7 0.0627178
34 8 0.0635733
34 9 0.062957
34 10 0.0632307
34 11 0.0639326
34 12 0.0623579
34 13 0.0621973
34 14 0.0628121
34 15 0.062212
34 16 0.0628685
34 17 0.0638101
34 18 0.0636329
34 19 0.062673
34 20 0.0634096
34 21 0.0630801
34 22 0.0631977
34 23 0.0631815
34 24 0.0637006
34 25 0.06337
34 26 0.0621567
34 27 0.0633527
34 28 0.0622967
34 29 0.0623439
34 30 0.0640479
34 31 0.0670067
34 32 0.0630688
35 1 0.0628166
35 2 0.0625025
35 3 0.0619856
35 4 0.061461
35 5 0.0623424
35 6 0.0627002
35 7 0.06091
35 8 0.0606481
35 9 0.0605099
35 10 0.060164
35 11 0.0603954
35 12 0.0606637
35 13 0.0605722
35 14 0.0602443
35 15 0.0607384
35 16 0.0608012
35 17 0.0605612
35 18 0.0601464
35 19 0.0602577
35 20 0.0606062
35 21 0.0607007
35 22 0.0608732
35 23 0.060326
35 24 0.0603572
35 25 0.0607037
35 26 0.0608466
35 27 0.0610228
35 28 0.0607766
35 29 0.0618391
35 30 0.0623196
35 31 0.0647254
35 32 0.0612264
36 1 0.0611867
36 2 0.062773
36 3 0.0612734
36 4 0.0612969
36 5 0.0627836
36 6 0.0628784
36 7 0.0608373
36 8 0.0618182
36 9 0.0629919
36 10 0.063215
36 11 0.0624034
36 12 0.0616347
36 13 0.0626311
36 14 0.0623373
36 15 0.0623264
36 16 0.0618376
36 17 0.062308
36 18 0.0621139
36 19 0.0619416
36 20 0.0616547
36 21 0.0620518
36 22 0.0621446
36 23 0.0613033
36 24 0.0614519
36 25 0.0622711
36 26 0.061243
36 27 0.0613112
36 28 0.0611767
36 29 0.0617695
36 30 0.0626841
36 31 0.0634464
36 32 0.0617989
37 1 0.0609287
37 2 0.0609493
37 3 0.0609639
37 4 0.0603236
37 6 0.0600478
37 7 0.0595946
37 8 0.0599513
37 9 0.0590522
37 10 0.0591639
37 11 0.059237
37 12 0.0595115
37 13 0.0593385
37 14 0.0589942
37 15 0.0593582
37 16 0.0589745
37 17 0.0590403
37 18 0.0593854
37 19 0.0594434
37 20 0.0596948
37 21 0.0597502
37 22 0.0595847
37 23 0.059607
37 24 0.0601628
37 25 0.0597594
37 26 0.0606879
37 27 0.0603654
37 28 0.0598796
37 29 0.0611066
37 30 0.0608695
37 31 0.0629129
37 32 0.0599598
38 1 0.0617483
38 2 0.0626268
38 3 0.0622933
38 4 0.0620806
38 5 0.0616184
38 6 0.0610085
38 7 0.0612259
38 8 0.0598773
38 9 0.0600315
38 10 0.0603225
38 11 0.0609292
38 12 0.0604211
38 13 0.0603024
38 14 0.0596688
38 15 0.0605406
38 16 0.0609616
38 17 0.0598905
38 18 0.0608551
38 19 0.0607353
38 20 0.060824
38 21 0.0609209
38 22 0.0608505
38 23 0.0614517
38 24 0.0604748
38 25 0.0600543
38 26 0.0601505
38 27 0.0612665
38 28 0.0610737
38 29 0.0608831
38 30 0.0610347
38 31 0.0611761
38 32 0.0604114
39 1 0.0621648
39 2 0.0620899
39 3 0.0615721
39 4 0.0608903
39 5 0.0613717
39 6 0.0610357
39 7 0.0606415
39 8 0.0603888
39 9 0.0605752
39 10 0.0609584
39 11 0.0606668
39 12 0.0602262
39 13 0.0612672
39 15 0.0606832
39 16 0.0613682
39 17 0.0614267
39 18 0.0607054
39 20 0.0609747
39 21 0.0607546
39 22 0.0609224
