Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
4	29	20.8057
4	30	20.8092
4	31	20.8079
5	0	20.0487
5	1	20.2471
5	2	20.2476
5	3	20.2612
5	4	20.2618
5	5	20.2654
5	6	20.2678
5	7	20.2751
5	8	20.2868
5	9	20.2918
5	10	20.2809
5	11	20.2897
5	12	20.2909
5	13	20.3022
5	14	20.3109
5	15	20.311
5	16	20.3256
5	17	20.3202
5	18	20.3259
5	19	20.3217
5	20	20.3186
5	21	20.3426
5	22	20.3501
5	23	20.3511
5	24	20.342
5	25	20.3505
5	26	20.3406
5	27	20.3536
5	28	20.3635
5	29	20.3845
5	30	20.3901
5	31	20.3996
6	0	20.2824
6	1	20.5352
6	2	20.5503
6	3	20.5388
6	4	20.5764
6	5	20.567
6	6	20.6009
6	7	20.5957
6	8	20.5737
6	9	20.5757
6	10	20.5712
6	11	20.5843
6	12	20.6097
6	13	20.6258
6	14	20.6235
6	15	20.6043
6	16	20.61
6	17	20.6385
6	18	20.6154
6	19	20.6112
6	20	20.6279
6	21	20.6455
6	22	20.6516
6	23	20.658
6	24	20.6446
6	25	20.6622
6	26	20.674
6	27	20.6585
6	28	20.6737
6	29	20.7008
6	30	20.6945
6	31	20.6903
7	0	19.9614
7	1	20.1465
7	2	20.1523
7	3	20.1671
7	4	20.1565
7	5	20.1908
7	6	20.1967
7	7	20.1967
7	8	20.1769
7	9	20.2158
7	10	20.1759
7	11	20.1899
7	12	20.2147
7	13	20.2125
7	14	20.2133
7	15	20.2277
7	16	20.2164
7	17	20.2462
7	18	20.2284
7	19	20.2316
7	20	20.2387
7	21	20.2474
7	22	20.2488
7	23	20.2557
7	24	20.2551
7	25	20.2594
7	26	20.2775
7	27	20.2535
7	28	20.2789
7	29	20.2825
7	30	20.2938
7	31	20.2951
8	0	20.2245
8	1	20.4991
8	2	20.4953
8	3	20.4974
8	4	20.5101
8	5	20.501
8	6	20.5102
8	7	20.5244
8	8	20.5172
8	9	20.5151
8	10	20.5406
8	11	20.547
8	12	20.5459
8	13	20.5462
8	14	20.5617
8	15	20.5569
8	16	20.5697
8	17	20.5954
8	18	20.5792
8	19	20.5875
8	20	20.5849
8	21	20.6084
8	22	20.6017
8	23	20.6008
8	24	20.6169
8	25	20.628
8	26	20.6314
8	27	20.6382
8	28	20.6344
8	29	20.651
8	30	20.636
8	31	20.6544
9	0	19.9195
9	1	20.1433
9	2	20.1401
9	3	20.1289
9	4	20.156
9	5	20.1369
9	6	20.161
9	7	20.1442
9	8	20.1457
9	9	20.1805
9	10	20.1709
9	11	20.1858
9	12	20.1872
9	13	20.1707
9	14	20.1848
9	15	20.1751
9	16	20.1738
9	17	20.2116
9	18	20.2076
