Common TimeShift, ns
-248 ns
Plane	 Strip	 TimeShift, ns
19 22 8.45411
19 23 8.45032
19 24 8.44674
19 25 8.44335
19 26 8.44018
19 27 8.4372
19 28 8.43444
19 29 8.43188
19 30 8.42952
19 31 8.42737
19 32 8.42542
19 33 8.42368
19 34 8.42215
19 35 8.42082
19 36 8.4197
19 37 8.41879
19 38 8.41808
19 39 8.41758
19 40 8.41729
19 41 8.4172
19 42 8.41732
19 43 8.41764
19 44 8.41817
19 45 8.41891
19 46 8.41985
19 47 8.421
