"Message ID";"Date";"Author";"Type";"Category";"Subject";"N Run";"Shift leader";"Trigger";"DAQ status";"Mag. field";"Beam"
92;Sat  10 Dec 2016 13:47:24 +0300;"shift";"Other";"General";;"508";"Piyadin S.M.";"Beam trigger: T0+BC1+BC2+Veto";"All detectors in DAQ - ZDC";"1800 A, 108 mv";"d 4 GeV/n, target C"
93;Sat  10 Dec 2016 15:41:55 +0300;"shift";"Other";"General";;"511";"Piyadin S.M.";"Beam trigger: T0+BC1+BC2+Veto";"All detectors in DAQ - ZDC";"1600A";"d 4 GeV/n, target C"
94;Sat  10 Dec 2016 18:17:35 +0300;"Piyadin S.M.";"Other";"General";;"513";"Piyadin S.M.";"Min bias: FD + beam trigger";"All detectors in DAQ - ZDC";"1600A (98.7mV)";"d 4 GeV/n, target C, inten. =3*10^5"
95;Sat  10 Dec 2016 19:14:28 +0300;"Piyadin S.M.";"Other";"General";;"514";"Piyadin S.M.";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4 GeV/n, target Cu (10mm)"
96;Sat  10 Dec 2016 19:51:55 +0300;"Piyadin S.M.";"Other";"General";;"515";"Piyadin S.M.";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4 GeV/n, target Cu (10mm)"
97;Sat  10 Dec 2016 20:06:31 +0300;"shift";"Other";"General";;"516";"Piyadin S.M.";"Min bias: FD + beam trigger";"all detectors";"1600A(98.7mV)";"d 4Gev/nucl Cu(10mm)"
98;Sat  10 Dec 2016 20:25:12 +0300;"Piyadin S.M.";"Other";"General";;"518";"Piyadin S.M.";"Min bias: FD + beam trigger";"all detectors";"1600A(98.7mV)";"d 4Gev/nucl Cu(10mm)"
99;Sat  10 Dec 2016 20:47:42 +0300;"Piyadin S.M.";"Other";"General";;"519";"Piyadin S.M.";"Min bias: FD + beam trigger";"all detectors";"1600A(98.7mV)";"d 4Gev/nucl Cu(10mm)"
100;Sat  10 Dec 2016 21:02:15 +0300;"V. Babkin";"Shift started";"Other";"Shift started.";"519";"V. Babkin";"Min bias: FD + beam trigger";"all detectors";"1600A(98.7mV)";"d 4Gev/nucl Cu(10mm)"
101;Sat  10 Dec 2016 21:14:44 +0300;"V. Babkin";"Other";"Other";"New run";"522";"V. Babkin";"Min bias: FD + beam trigger";"all detectors";"1600A(98.7mV)";"d 4Gev/nucl Cu(10mm)"
102;Sat  10 Dec 2016 21:43:35 +0300;"V. Babkin";"Other";"General";"New run";"526";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl Cu(10mm)"
103;Sat  10 Dec 2016 22:12:43 +0300;"V. Babkin";"Other";"General";"New run";"527";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl Cu(10mm)"
104;Sat  10 Dec 2016 22:43:53 +0300;"V. Babkin";"Other";"General";"New run";"528";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl Cu(10mm)"
105;Sat  10 Dec 2016 23:13:31 +0300;"V. Babkin";"Other";"General";"New run";"529";"V. Babkin";"Min bias: FD + beam trigger";"All detectors in DAQ";"1600A (98.7mV)";"d 4Gev/nucl Cu(10mm)"
